# kind	commit	bench	measured	ms
rat	3a608bc555788dcd9aa4a1ec565ca9b3c1bb2d66	fcefbfd05df53f8317a61df747bd57087a5dac68	2026-08-20T09:09:05+00:00	857
rat	88957b94d45293378f677ae413110ddbebccdf2e	fcefbfd05df53f8317a61df747bd57087a5dac68	2026-08-20T09:09:23+00:00	856
rat	cc88f54a247c655a5e45c522d8c88c77f7815dbb	fcefbfd05df53f8317a61df747bd57087a5dac68	2026-08-20T09:09:41+00:00	867
rat	3dc5a002ec1b36f8a34a80f51b963e2ab5b2c591	fcefbfd05df53f8317a61df747bd57087a5dac68	2026-08-20T09:09:59+00:00	863
rat	34fc58aead5767bae0ecfd3b83cdd0c224e65902	fcefbfd05df53f8317a61df747bd57087a5dac68	2026-08-20T09:10:17+00:00	866
rat	3051ed2db7415c2d863cad2b05ad82f6417d32a8	fcefbfd05df53f8317a61df747bd57087a5dac68	2026-08-20T09:10:36+00:00	865
rat	1507a1d61ce3bb33bd6d6b8c3d85651db8e20cda	fcefbfd05df53f8317a61df747bd57087a5dac68	2026-08-20T09:10:54+00:00	864
rat	eae7cc8a98537c81ac48468f3d38400827b58fc6	fcefbfd05df53f8317a61df747bd57087a5dac68	2026-08-20T09:11:13+00:00	865
rat	9a9927ac51b3bb2891be3f1fbe20c48ee67927ae	fcefbfd05df53f8317a61df747bd57087a5dac68	2026-08-20T09:11:31+00:00	863
rat	e8a9382dbbf6e8b2e7b7c881e7d80e9217118ae4	fcefbfd05df53f8317a61df747bd57087a5dac68	2026-08-20T09:11:49+00:00	862
rat	b0a018b96a7919541490c2efc3d0911f1ec95ffe	fcefbfd05df53f8317a61df747bd57087a5dac68	2026-08-20T09:12:08+00:00	866
rat	acc3917660348e1b83787bb7861f33b7c6a9ab62	fcefbfd05df53f8317a61df747bd57087a5dac68	2026-08-20T09:12:26+00:00	865
rat	55ae8151b30382e775c3cb73e511525307d83ec3	fcefbfd05df53f8317a61df747bd57087a5dac68	2026-08-20T09:12:44+00:00	864
rat	421fe5a46958180da6853501ebfadd9662a31de0	fcefbfd05df53f8317a61df747bd57087a5dac68	2026-08-20T09:13:03+00:00	865
rat	51a7ab9f14c0f78b8ce380d05798e6116997fcad	fcefbfd05df53f8317a61df747bd57087a5dac68	2026-08-20T09:13:21+00:00	865
rat	a719cb4d616dfa44a91d1c237c9084bba119e55f	fcefbfd05df53f8317a61df747bd57087a5dac68	2026-08-20T09:13:40+00:00	866
rat	8c9996f2a54214d9079641054883a4f51aa8c451	fcefbfd05df53f8317a61df747bd57087a5dac68	2026-08-20T09:13:58+00:00	866
rat	ce9eae499265a9e5ab9f98e371b63889b8813d2c	fcefbfd05df53f8317a61df747bd57087a5dac68	2026-08-20T09:14:17+00:00	865
rat	71dd1488702461aa6eab698dfc06c899725fc120	fcefbfd05df53f8317a61df747bd57087a5dac68	2026-08-20T09:14:35+00:00	865
rat	56b70c092650762abafd36a0635e2c6571067f35	fcefbfd05df53f8317a61df747bd57087a5dac68	2026-08-20T09:14:54+00:00	866
rat	7792109f3d8c3e3b27e175bc4399a42bf89bd62f	fcefbfd05df53f8317a61df747bd57087a5dac68	2026-08-20T09:15:13+00:00	865
rat	77034ffcb85c8c69712fd808965ee098e418ac04	fcefbfd05df53f8317a61df747bd57087a5dac68	2026-08-20T09:15:31+00:00	864
rat	c5b4bd4edd4a3bdcfc8b9b3fed4d420e5e8c7d81	fcefbfd05df53f8317a61df747bd57087a5dac68	2026-08-20T09:15:50+00:00	865
rat	4c91f785ee564a1517743e5845785f928585715e	fcefbfd05df53f8317a61df747bd57087a5dac68	2026-08-20T09:16:09+00:00	867
rat	87b6a3c8f83adb2ad08101537fdfcddb3fd2e01c	fcefbfd05df53f8317a61df747bd57087a5dac68	2026-08-20T09:16:27+00:00	864
rat	0f40c28549ba3a86c1f1887a3a09359f8309f691	fcefbfd05df53f8317a61df747bd57087a5dac68	2026-08-20T09:16:46+00:00	869
rat	071403aa45fe1a7748bc261847d7042ac16e6b4d	fcefbfd05df53f8317a61df747bd57087a5dac68	2026-08-20T09:16:56+00:00	0
rat	f8d0021dc34cbefba9bd030614af56b8f0f789ff	fcefbfd05df53f8317a61df747bd57087a5dac68	2026-08-20T09:17:06+00:00	0
rat	a467c35ea572e472ae5bc3423849e3926d31d235	fcefbfd05df53f8317a61df747bd57087a5dac68	2026-08-20T09:17:16+00:00	0
rat	8de0dbf553714eea405d222f3415826195b892f2	fcefbfd05df53f8317a61df747bd57087a5dac68	2026-08-20T09:17:26+00:00	0
rat	351cda33f0b5d1f9f7ea03ab843fc819cde9849b	fcefbfd05df53f8317a61df747bd57087a5dac68	2026-08-20T09:17:36+00:00	0
rat	2f6cb9bb69d62eaf40a7a7d2a096ad79afcd79b1	fcefbfd05df53f8317a61df747bd57087a5dac68	2026-08-20T09:17:46+00:00	0
rat	c049cdd357226fc4570186b2decf9f072db4683c	fcefbfd05df53f8317a61df747bd57087a5dac68	2026-08-20T09:17:56+00:00	0
rat	690c39a6260d6ded99d3006a2a866839a454f9d6	fcefbfd05df53f8317a61df747bd57087a5dac68	2026-08-20T09:18:06+00:00	0
rat	d97bfb4cbe8fdf420f0396e970d3c3520d01696e	fcefbfd05df53f8317a61df747bd57087a5dac68	2026-08-20T09:18:25+00:00	851
rat	bc34c8cf7dddea0107a1b82b3c94f223764d462b	fcefbfd05df53f8317a61df747bd57087a5dac68	2026-08-20T09:18:43+00:00	847
rat	75888719ffed21951e221858d746a267e1b520f7	fcefbfd05df53f8317a61df747bd57087a5dac68	2026-08-20T09:19:02+00:00	844
rat	0cf1fa34aabcf7411f82d7164d205cef923a8467	fcefbfd05df53f8317a61df747bd57087a5dac68	2026-08-20T09:19:21+00:00	846
rat	fcefbfd05df53f8317a61df747bd57087a5dac68	fcefbfd05df53f8317a61df747bd57087a5dac68	2026-08-20T09:19:39+00:00	844
rat	c8d0fcb3090e87669be792832036ad5179e96731	fcefbfd05df53f8317a61df747bd57087a5dac68	2026-08-20T09:19:58+00:00	843
rat	2e1bb4d087c7e5310ea64e5010d6c1c674bc6ff3	fcefbfd05df53f8317a61df747bd57087a5dac68	2026-08-20T09:20:16+00:00	844
rat	924316aaa731d26d21ff528b867602065bbe2618	fcefbfd05df53f8317a61df747bd57087a5dac68	2026-08-20T09:20:35+00:00	843
rat	89434c2c632a25dfa28ab7614529d01b9f85c00f	fcefbfd05df53f8317a61df747bd57087a5dac68	2026-08-20T09:20:54+00:00	844
rat	b905c9e4db017fac5831ff68dc4d40221cada9af	fcefbfd05df53f8317a61df747bd57087a5dac68	2026-08-20T09:21:12+00:00	844
rat	b8e1eeaca3bbab3dcc76e21fc3e27383bdf4003c	fcefbfd05df53f8317a61df747bd57087a5dac68	2026-08-20T09:21:31+00:00	845
clang	-	fcefbfd05df53f8317a61df747bd57087a5dac68	2026-08-20T09:35:06+00:00	750
rat	98ab5aaf9c8dd430eaa2bb679313900db8c3ff51	fcefbfd05df53f8317a61df747bd57087a5dac68	2026-08-20T10:34:09+00:00	842
rat	4f864f756f4cfe96e68b84f761ffe594d2f3f2bf	fcefbfd05df53f8317a61df747bd57087a5dac68	2026-08-20T20:43:25+00:00	841
rat	edac891ebc904ccbcd1dd0f562240f2d2f8a416e	fcefbfd05df53f8317a61df747bd57087a5dac68	2026-08-20T21:00:39+00:00	858
rat	e71efd91c1365891bf788013ab27a89e9091d422	fcefbfd05df53f8317a61df747bd57087a5dac68	2026-08-21T09:24:01+00:00	842
rat	7adff780bdbf2f596eecfd37fc349e062309dab3	fcefbfd05df53f8317a61df747bd57087a5dac68	2026-08-22T04:31:14+00:00	842
